source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
17p13 deletion	0	JNJ_OPTUM_EHR_ONCBM	17p13 deletion	21493501	LOINC	2023-07-26	2099-12-31	
1q21 amplification	0	JNJ_OPTUM_EHR_ONCBM	1q21 amplification	21494134	LOINC	2023-07-26	2099-12-31	
alanyl aminopeptidase, membrane (ANPEP or CD13)	0	JNJ_OPTUM_EHR_ONCBM	alanyl aminopeptidase, membrane (ANPEP or CD13)	35951992	OMOP Genomic	2023-07-26	2099-12-31	
albumin (ALB)	0	JNJ_OPTUM_EHR_ONCBM	albumin (ALB)	35960959	OMOP Genomic	2023-07-26	2099-12-31	
ALK receptor tyrosine kinase (ALK)	0	JNJ_OPTUM_EHR_ONCBM	ALK receptor tyrosine kinase (ALK)	35963763	OMOP Genomic	2023-07-26	2099-12-31	
alpha fetoprotein (AFP)	0	JNJ_OPTUM_EHR_ONCBM	alpha fetoprotein (AFP)	35948552	OMOP Genomic	2023-07-26	2099-12-31	
androgen receptor (AR)	0	JNJ_OPTUM_EHR_ONCBM	androgen receptor (AR)	35953130	OMOP Genomic	2023-07-26	2099-12-31	
anti-keratin AE1/AE3 (KRT or CK AE1/AE3)	0	JNJ_OPTUM_EHR_ONCBM	anti-keratin AE1/AE3 (KRT or CK AE1/AE3)	3040360	LOINC	2023-07-26	2099-12-31	
APC regulator of WNT signaling pathway (APC)	0	JNJ_OPTUM_EHR_ONCBM	APC regulator of WNT signaling pathway (APC)	35962095	OMOP Genomic	2023-07-26	2099-12-31	
ASXL transcriptional regulator 1 (ASXL1)	0	JNJ_OPTUM_EHR_ONCBM	ASXL transcriptional regulator 1 (ASXL1)	35964089	OMOP Genomic	2023-07-26	2099-12-31	
ATM serine/threonine kinase (ATM)	0	JNJ_OPTUM_EHR_ONCBM	ATM serine/threonine kinase (ATM)	35960740	OMOP Genomic	2023-07-26	2099-12-31	
ATPase copper transporting beta (ATP7B)	0	JNJ_OPTUM_EHR_ONCBM	ATPase copper transporting beta (ATP7B)	35964103	OMOP Genomic	2023-07-26	2099-12-31	
AXL receptor tyrosine kinase (AXL)	0	JNJ_OPTUM_EHR_ONCBM	AXL receptor tyrosine kinase (AXL)	35962474	OMOP Genomic	2023-07-26	2099-12-31	
BAT25 (BAT25)	0	JNJ_OPTUM_EHR_ONCBM	BAT25 (BAT25)	0	None	2023-07-26	2099-12-31	
BAT26 (BAT26)	0	JNJ_OPTUM_EHR_ONCBM	BAT26 (BAT26)	0	None	2023-07-26	2099-12-31	
BCL2 apoptosis regulator (BCL2)	0	JNJ_OPTUM_EHR_ONCBM	BCL2 apoptosis regulator (BCL2)	35958594	OMOP Genomic	2023-07-26	2099-12-31	
BCL6 corepressor (BCOR)	0	JNJ_OPTUM_EHR_ONCBM	BCL6 corepressor (BCOR)	35946879	OMOP Genomic	2023-07-26	2099-12-31	
BCL6 transcription repressor (BCL6)	0	JNJ_OPTUM_EHR_ONCBM	BCL6 transcription repressor (BCL6)	35951084	OMOP Genomic	2023-07-26	2099-12-31	
BCR activator of RhoGEF and GTPase (BCR)	0	JNJ_OPTUM_EHR_ONCBM	BCR activator of RhoGEF and GTPase (BCR)	35953732	OMOP Genomic	2023-07-26	2099-12-31	
Bence Jones protein	0	JNJ_OPTUM_EHR_ONCBM	Bence Jones protein	37393313	SNOMED	2023-07-26	2024-03-13	D
Bence Jones protein	0	JNJ_OPTUM_EHR_ONCBM	Bence Jones protein	4033705	SNOMED	2024-03-13	2099-12-31	
beta-2-microglobulin (B2M)	0	JNJ_OPTUM_EHR_ONCBM	beta-2-microglobulin (B2M)	4216186	SNOMED	2023-07-26	2099-12-31	
Blast cells in bone marrow	0	JNJ_OPTUM_EHR_ONCBM	Blast cells in bone marrow	3009992	LOINC	2023-07-26	2099-12-31	
Bone marrow cellularity finding	0	JNJ_OPTUM_EHR_ONCBM	Bone marrow cellularity finding	44806784	SNOMED	2023-07-26	2099-12-31	
bone marrow lymphoblasts	0	JNJ_OPTUM_EHR_ONCBM	bone marrow lymphoblasts	0	None	2023-07-26	2099-12-31	
bone marrow plasma cells	0	JNJ_OPTUM_EHR_ONCBM	bone marrow plasma cells	44786881	LOINC	2023-07-26	2099-12-31	
bone morphogenetic protein receptor type 1A (BMPR1A)	0	JNJ_OPTUM_EHR_ONCBM	bone morphogenetic protein receptor type 1A (BMPR1A)	35961340	OMOP Genomic	2023-07-26	2099-12-31	
B-Raf proto-oncogene, serine/threonine kinase (BRAF)	0	JNJ_OPTUM_EHR_ONCBM	B-Raf proto-oncogene, serine/threonine kinase (BRAF)	35948173	OMOP Genomic	2023-07-26	2099-12-31	
B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600	0	JNJ_OPTUM_EHR_ONCBM	B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600	35948173	OMOP Genomic	2023-07-26	2099-12-31	
B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600E	0	JNJ_OPTUM_EHR_ONCBM	B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600E	35948173	OMOP Genomic	2023-07-26	2099-12-31	
B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600K	0	JNJ_OPTUM_EHR_ONCBM	B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600K	35984352	OMOP Genomic	2023-07-26	2024-03-13	D
B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600K	0	JNJ_OPTUM_EHR_ONCBM	B-Raf proto-oncogene, serine/threonine kinase (BRAF) V600K	19583251	OMOP Genomic	2024-03-13	2099-12-31	
BRCA1 associated RING domain 1 (BARD1)	0	JNJ_OPTUM_EHR_ONCBM	BRCA1 associated RING domain 1 (BARD1)	35962884	OMOP Genomic	2023-07-26	2099-12-31	
BRCA1/BRCA2 DNA repair associated (BRCA1/BRCA2)	0	JNJ_OPTUM_EHR_ONCBM	BRCA1/BRCA2 DNA repair associated (BRCA1/BRCA2)	35950928	OMOP Genomic	2023-07-26	2099-12-31	
BRCA1/BRCA2 DNA repair associated (BRCA1/BRCA2)	0	JNJ_OPTUM_EHR_ONCBM	BRCA1/BRCA2 DNA repair associated (BRCA1/BRCA2)	35950178	OMOP Genomic	2023-07-26	2099-12-31	
BRCA1 DNA repair associated (BRCA1)	0	JNJ_OPTUM_EHR_ONCBM	BRCA1 DNA repair associated (BRCA1)	35950928	OMOP Genomic	2023-07-26	2099-12-31	
BRCA1 interacting protein C-terminal helicase 1 (BRIP1)	0	JNJ_OPTUM_EHR_ONCBM	BRCA1 interacting protein C-terminal helicase 1 (BRIP1)	35960995	OMOP Genomic	2023-07-26	2099-12-31	
BRCA2 DNA repair associated (BRCA2)	0	JNJ_OPTUM_EHR_ONCBM	BRCA2 DNA repair associated (BRCA2)	35950178	OMOP Genomic	2023-07-26	2099-12-31	
C9orf72-SMCR8 complex subunit (C9orf72)	0	JNJ_OPTUM_EHR_ONCBM	C9orf72-SMCR8 complex subunit (C9orf72)	35954626	OMOP Genomic	2023-07-26	2099-12-31	
cadherin 1 (CDH1)	0	JNJ_OPTUM_EHR_ONCBM	cadherin 1 (CDH1)	35949357	OMOP Genomic	2023-07-26	2099-12-31	
calbindin 2 (CALB2)	0	JNJ_OPTUM_EHR_ONCBM	calbindin 2 (CALB2)	35960289	OMOP Genomic	2023-07-26	2099-12-31	
cancer antigen 125 (CA 125 or MUC16)	0	JNJ_OPTUM_EHR_ONCBM	cancer antigen 125 (CA 125 or MUC16)	35956038	OMOP Genomic	2023-07-26	2099-12-31	
cancer antigen 15-3 (CA 15-3)	0	JNJ_OPTUM_EHR_ONCBM	cancer antigen 15-3 (CA 15-3)	37394128	SNOMED	2023-07-26	2024-03-13	D
cancer antigen 15-3 (CA 15-3)	0	JNJ_OPTUM_EHR_ONCBM	cancer antigen 15-3 (CA 15-3)	4013180	SNOMED	2024-03-13	2099-12-31	
cancer antigen 27.29 (CA 27.29)	0	JNJ_OPTUM_EHR_ONCBM	cancer antigen 27.29 (CA 27.29)	40483741	SNOMED	2023-07-26	2099-12-31	
carbohydrate antigen 19-9 (CA 19-9)	0	JNJ_OPTUM_EHR_ONCBM	carbohydrate antigen 19-9 (CA 19-9)	44811979	SNOMED	2023-07-26	2099-12-31	
carcinoembryonic antigen (CEA)	0	JNJ_OPTUM_EHR_ONCBM	carcinoembryonic antigen (CEA)	4244721	SNOMED	2023-07-26	2099-12-31	
caudal type homeobox 2 (CDX2)	0	JNJ_OPTUM_EHR_ONCBM	caudal type homeobox 2 (CDX2)	35948906	OMOP Genomic	2023-07-26	2099-12-31	
CBL proto-oncogene (CBL)	0	JNJ_OPTUM_EHR_ONCBM	CBL proto-oncogene (CBL)	35955105	OMOP Genomic	2023-07-26	2099-12-31	
CCAAT enhancer binding protein alpha (CEBPA)	0	JNJ_OPTUM_EHR_ONCBM	CCAAT enhancer binding protein alpha (CEBPA)	35948202	OMOP Genomic	2023-07-26	2099-12-31	
CD14 molecule (CD14)	0	JNJ_OPTUM_EHR_ONCBM	CD14 molecule (CD14)	35955452	OMOP Genomic	2023-07-26	2099-12-31	
CD19 molecule (CD19)	0	JNJ_OPTUM_EHR_ONCBM	CD19 molecule (CD19)	35960932	OMOP Genomic	2023-07-26	2099-12-31	
CD274 molecule (CD274 or PD-L1 or PDL1)	0	JNJ_OPTUM_EHR_ONCBM	CD274 molecule (CD274 or PD-L1 or PDL1)	35960433	OMOP Genomic	2023-07-26	2099-12-31	
CD2 molecule (CD2)	0	JNJ_OPTUM_EHR_ONCBM	CD2 molecule (CD2)	35946914	OMOP Genomic	2023-07-26	2099-12-31	
CD30 molecule (CD30 or TNFRSF8)	0	JNJ_OPTUM_EHR_ONCBM	CD30 molecule (CD30 or TNFRSF8)	35946663	OMOP Genomic	2023-07-26	2099-12-31	
CD33 molecule (CD33)	0	JNJ_OPTUM_EHR_ONCBM	CD33 molecule (CD33)	35949007	OMOP Genomic	2023-07-26	2099-12-31	
CD34 molecule (CD34)	0	JNJ_OPTUM_EHR_ONCBM	CD34 molecule (CD34)	35954026	OMOP Genomic	2023-07-26	2099-12-31	
CD38 molecule (CD38)	0	JNJ_OPTUM_EHR_ONCBM	CD38 molecule (CD38)	35961058	OMOP Genomic	2023-07-26	2099-12-31	
CD3 molecule (CD3)	0	JNJ_OPTUM_EHR_ONCBM	CD3 molecule (CD3)	0	None	2023-07-26	2099-12-31	
CD40 molecule (CD40)	0	JNJ_OPTUM_EHR_ONCBM	CD40 molecule (CD40)	35962194	OMOP Genomic	2023-07-26	2099-12-31	
