source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
Advanced Practitioner	0	CPRD_JobCat	Advanced Practitioner	38003794	NUCC	1970-01-01	2099-12-31	
Analyst	0	CPRD_JobCat	Analyst	38004169	NUCC	1970-01-01	2099-12-31	
Assistant Practitioner	0	CPRD_JobCat	Assistant Practitioner	38004512	Medicare Specialty	1970-01-01	2099-12-31	
Associate Practitioner - General Practitioner	0	CPRD_JobCat	Associate Practitioner - General Practitioner	38004512	Medicare Specialty	1970-01-01	2099-12-31	
Associate Practitioner - Nurse	0	CPRD_JobCat	Associate Practitioner - Nurse	38004487	Medicare Specialty	1970-01-01	2099-12-31	
Associate Specialist	0	CPRD_JobCat	Associate Specialist	38003794	NUCC	1970-01-01	2099-12-31	
Chiropodist/Podiatrist	0	CPRD_JobCat	Chiropodist/Podiatrist	38004030	NUCC	1970-01-01	2099-12-31	
Clerical Worker	0	CPRD_JobCat	Clerical Worker	38004154	NUCC	1970-01-01	2099-12-31	
Clinical Assistant	0	CPRD_JobCat	Clinical Assistant	38004371	NUCC	1970-01-01	2099-12-31	
Clinical Coder	0	CPRD_JobCat	Clinical Coder	38004153	NUCC	1970-01-01	2099-12-31	
Clinical Psychologist	0	CPRD_JobCat	Clinical Psychologist	38003638	NUCC	1970-01-01	2099-12-31	
Community Administrator	0	CPRD_JobCat	Community Administrator	38003789	NUCC	1970-01-01	2099-12-31	
Community Administrator	0	CPRD_JobCat	Community Administrator	38003789	NUCC	1970-01-01	2099-12-31	
Community Mental Health Nurse	0	CPRD_JobCat	Community Mental Health Nurse	38004413	NUCC	1970-01-01	2099-12-31	
Community Nurse	0	CPRD_JobCat	Community Nurse	38003722	NUCC	1970-01-01	2099-12-31	
Community Practitioner	0	CPRD_JobCat	Community Practitioner	38004376	NUCC	1970-01-01	2099-12-31	
Consultant	0	CPRD_JobCat	Consultant	0	None	1970-01-01	2099-12-31	
Counsellor	0	CPRD_JobCat	Counsellor	38003627	NUCC	1970-01-01	2099-12-31	
Desktop Support Administrator	0	CPRD_JobCat	Desktop Support Administrator	38004169	NUCC	1970-01-01	2099-12-31	
Desktop Support Technician	0	CPRD_JobCat	Desktop Support Technician	38004185	NUCC	1970-01-01	2099-12-31	
Dietitian	0	CPRD_JobCat	Dietitian	38003690	NUCC	1970-01-01	2099-12-31	
Dispenser	0	CPRD_JobCat	Dispenser	38003819	NUCC	1970-01-01	2099-12-31	
Gateway Worker	0	CPRD_JobCat	Gateway Worker	38003625	NUCC	1970-01-01	2099-12-31	
General Medical Practitioner	0	CPRD_JobCat	General Medical Practitioner	38004446	Medicare Specialty	1970-01-01	2099-12-31	
GP Registrar	0	CPRD_JobCat	GP Registrar	0	None	1970-01-01	2099-12-31	
Healthcare Assistant	0	CPRD_JobCat	Healthcare Assistant	38004512	Medicare Specialty	1970-01-01	2099-12-31	
Health Care Support Worker	0	CPRD_JobCat	Health Care Support Worker	38004370	NUCC	1970-01-01	2099-12-31	
