cdm_source_name,cdm_source_abbreviation,cdm_holder,source_description,source_documentation_reference,cdm_etl_reference
Post-authorisation safety study (PASS): observational cohort study of PAH patients exposed and unexposed to Uptravi (selexipag) in clinical practice,EXPOSURE,Janssen Epidemiology - Actelion,"This is a multicentre, prospective, real-world, observational cohort study in patients with PAH. Source data are defined as data collected in the EXPOSURE eCRF and stored in the Study Data Tabulation Model, that follows Implementation Guide version 3.2 and ADaM standards.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4c6614fe-b32e-4d3a-9786-5e7453b70d57.xml,
OPsumit USers cohort study,OPUS,Janssen Epidemiology - Actelion,"This is a multicenter, long-term, prospective, real-world, drug registry of Opsumit new users, and is a stand-alone observational study. Study database follows SDTM (Implementation Guide version 3.2) and ADaM standards.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F70d7e037-b2a4-4591-8e94-ecce8cb00f66.xml,
OPsumit Historical USers cohort study,OrPHeUS,Janssen Epidemiology - Actelion,"Multicenter, retrospective chart review of Opsumit users who initiated Opsumit therapy for the first time in the US. Study database follows SDTM (Implementation Guide version 3.2) and ADaM standards.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F8082347a-1687-4255-94b9-b5de994a8776.xml,
Clinical Practice Research Datalink (CPRD),CPRD,Janssen R&D,"The Clinical Practice Research Datalink (CPRD) is a governmental, not-for-profit research service, jointly funded by the NHS National Institute for Health Research (NIHR) and the Medicines and Healthcare products Regulatory Agency (MHRA), a part of the Department of Health, United Kingdom (UK).  CPRD GOLD consists of data collected from UK primary care offices using Vision(R) software.  This includes conditions, observations, measurements, and procedures that the general practitioner is made aware of in addition to any prescriptions as prescribed by the general practitioner.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Fe3d6a6b5-a712-456f-9418-31b9c4f4c4fb.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/CPRD
CPRD Aurum,CPRD Aurum,Janssen R&D,"The Clinical Practice Research Datalink (CPRD) is a governmental, not-for-profit research service, jointly funded by the NHS National Institute for Health Research (NIHR) and the Medicines and Healthcare products Regulatory Agency (MHRA), a part of the Department of Health, United Kingdom (UK).  CPRD Aurum consists of data routinely-collected data from practices using EMIS Web(R) electronic patient record system software. This includes conditions, observations, measurements, and procedures that the general practitioner is made aware of in addition to any prescriptions as prescribed by the general practitioner.  ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F9245ab40-d61d-488c-b68f-46caf9c84bd3.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/CPRD_Aurum
Health Verity Comprehensive Claims and EHR - Closed Claims Enrollment,Healthverity CC EHR CCE,Janssen R&D,"The HealthVerity Comprehensive Claims and EHR (Closed Claims Enrollment)  derived data set contains de-identified linked patient information  from select private data providers participating in the HealthVerity marketplace. This data extract includes 2 data sources across medical and pharmacy closed claims data, 3 sources providing open medical claims, 6 sources providing open pharmacy claims, 3 sources providing electronic medical record data from primary and specialty care, COVID vaccination records from commercial pharmacies, state COVID immunization records from California and Louisiana, as well as hospital chargemaster transactional records for inpatient and outpatient hospital encounters, and 2 sources providing laboratory data.

During the transformation to the OMOP CDM, only patients with enrollment in one of the two closed claims sources are included. The reasoning behind this is twofold. First, by using only patients with closed claims enrollment there is a high probability that any interaction with the health care system will be recorded. Data from the other linked sources, like laboratory data, becomes additional clinical context while retaining the low likelihood that adverse events would be missing from the record altogether. Second, the time during which a person is enrolled in a closed claims system provides more accurate person-time calculations.",None,
Merative(TM) MarketScan(R) Commercial Claims and Encounters Database,IBM CCAE,Janssen R&D,"The Merative(TM) MarketScan(R) Commercial Database (CCAE) includes health insurance claims across the continuum of care (e.g. inpatient, outpatient, outpatient pharmacy, carve-out behavioral healthcare) as well as enrollment data from large employers and health plans across the United States who provide private healthcare coverage for employees, their spouses, and dependents. This administrative claims database includes a variety of fee- for-service, preferred provider organizations, and capitated health plans.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Ff2f27aca-60f6-491d-8ed8-fff1858d178e.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_CCAE_MDCR
Merative(TM) MarketScan(R) Commercial Claims and Encounters Database,IBM CCAE SET B,Janssen R&D,"The Merative(TM) MarketScan(R) Commercial Database (CCAE) Set B includes health insurance claims across the continuum of care (e.g. inpatient, outpatient, outpatient pharmacy, carve-out behavioral healthcare) as well as enrollment data from large employers and health plans across the United States who provide private healthcare coverage for employees, their spouses, and dependents. This administrative claims database includes a variety of fee- for-service, preferred provider organizations, and capitated health plans. Set B includes data and all financial variables for 85% of the population. ",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2Ff2f27aca-60f6-491d-8ed8-fff1858d178e.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_CCAE_MDCR
Merative(TM) MarketScan(R) Multi-State Medicaid Database,IBM MDCD,Janssen R&D,"The Merative(TM) MarketScan(R) Multi-State Medicaid Database (MDCD) reflects the healthcare service use of individuals covered by Medicaid programs in numerous geographically dispersed states. The database contains the pooled healthcare experience of Medicaid enrollees, covered under fee-for-service and managed care plans. It includes records of inpatient services, inpatient admissions, outpatient services, and prescription drug claims, as well as information on long-term care. Data on eligibility and service and provider type are also included. In addition to standard demographic variables such as age and gender, the database includes variables such as federal aid category (income based, disability, Temporary Assistance for Needy Families) and race.",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4136471c-0662-4ca7-b091-4d6120358f74.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_MDCD
Merative(TM) MarketScan(R) Medicare Supplemental and Coordination of Benefits Database,IBM MDCR,Janssen R&D,"The Merative(TM) MarketScan(R) Medicare Supplemental Database (MDCR) represents the health services of retirees in the United States with Medicare supplemental coverage through employer-sponsored plans. This database contains primarily fee-for-service plans and includes health insurance claims across the continuum of care (e.g. inpatient, outpatient and outpatient pharmacy).",https://catalog.rwe.jnj.com/index#jnjsearches?dataSetUri=%2Fdataset%2F4d653f44-36f7-4ccb-a81d-a1dce3be1c62.xml,https://ohdsi.github.io/ETL-LambdaBuilder/docs/IBM_CCAE_MDCR
