sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:higher-level category,matchScore,mappingStatus,conceptId,comment
2961,OTOLOGIST,2,,OTOLARYNGOLOGY,0.6417375802993774,UNCHECKED,38004118,
6868,PEDIATRIC ENDOCRINOLOGIST,395,,ENDOCRINOLOGY,0.855882465839386,UNCHECKED,45756809,
2776,PEDIATRIC ANESTHESIOLOGY,1457,,ANESTHESIOLOGY,1.0,APPROVED,45756804,
0474,GASTROENTEROLOGIST,98580,,GASTROENTEROLOGY,0.7920840978622437,UNCHECKED,38004455,
0743,FORENSIC PATHOLOGIST,2,,PATHOLOGY,0.701496958732605,UNCHECKED,38003644,
5828,ANESTHESIOLOGIST,23104510,,ANESTHESIOLOGY,0.7552425861358643,APPROVED,38004450,
1052,SPEECH PATHOLOGIST,12271,,SPEECH THERAPY PROVIDER,0.7647614479064941,UNCHECKED,38004125,
3106,ATHLETIC TRAINER,8425,,PHYSICAL THERAPY PROVIDER,0.589561402797699,UNCHECKED,38004065,
3080,PEDIATRIC INFECTIOUS DISEASES SPECIALIST,86,,INFECTIOUS DISEASES,0.8693999648094177,UNCHECKED,45756812,
0094,DURABLE MEDICAL EQUIPMENT,1949,,MEDICAL SUPPLY HOUSE,0.18859995901584625,UNCHECKED,38004503,
0794,SPORTS MEDICINE SPECIALIST,28299,,PHYSICAL MEDICINE & REHABILITATION,0.7859178185462952,UNCHECKED,903256,
2705,OCCUPATIONAL MEDICINE SPECIALIST,25,,PHYSICAL MEDICINE & REHABILITATION,0.8101648092269897,UNCHECKED,44777713,
2544,CRISIS DIVERSION,606,,SOCIAL WORKER,0.22569900751113892,UNCHECKED,38003786,
0496,GENERAL SURGEON - HEAD AND NECK SPECIALIST,215180,,GENERAL SURGERY,0.4257391691207886,UNCHECKED,38003794,
4296,REPRODUCTIVE ENDOCRINOLOGIST,1061,,OBSTETRICS,0.5793101787567139,UNCHECKED,45756826,
5988,SURGICAL ASSISTANT (NON-PHYS),5569444,,OTHER NON-PHYSICIAN PROVIDER,0.464385986328125,APPROVED,38004371,
1090,PODIATRIST - NON-MD,1231,,PODIATRIST - NON-MD,0.5297738909721375,UNCHECKED,38004030,
5904,PEDIATRIC ORTHOPEDIC SURGEON,40571,,ORTHOPEDICS,0.7228383421897888,UNCHECKED,38003909,
0339,INTERNIST/GENERAL INTERNIST,341170336,,INTERNAL MEDICINE,0.2750099003314972,APPROVED,38004456,
0903,DIAGNOSTIC RADIOLOGIST,4119,,RADIOLOGY,0.845322847366333,UNCHECKED,45756769,
2746,SLEEP STUDY,207,,OTHER PHYSICIAN SPECIALTY,0.5209611654281616,UNCHECKED,903275,
3772,GENETIC COUNSELOR,42,,GENETICS,1.0,APPROVED,38003776,
0286,GYNECOLOGIST,8232382,,GYNECOLOGY,0.809306263923645,APPROVED,38003902,
1393,PEDIATRIC GENETICIST,3,,GENETICS,0.5828133225440979,UNCHECKED,38004477,
1195,PODIATRIST - NON-MD,163730,,PODIATRIST - NON-MD,0.5297738909721375,UNCHECKED,38004030,
5945,ADDICTION MEDICINE SPECIALIST,17494,,ADDICTION MEDICINE SPECIALIST,0.7739812135696411,UNCHECKED,38004498,
3694,GENETIC COUNSELOR,424,,GENETICS,1.0,APPROVED,38003776,
7203,LICENSED VOCATIONAL NURSE,5,,REGISTERED NURSE,0.663005530834198,UNCHECKED,38003772,
2007,PHYSICAL THERAPIST - MOVEMENT DISORDERS,1555,,PHYSICAL THERAPY PROVIDER,0.621146023273468,UNCHECKED,38004490,
0883,PSYCHIATRIST - SUBSTANCE ABUSE SERVICES,543,,PSYCHIATRY,0.5070435404777527,UNCHECKED,38004469,
2001,GENERAL SURGEON - ORAL & MAXILOFACIAL SPECIALIST,52,,GENERAL SURGERY,0.6341041922569275,UNCHECKED,903257,
0457,URGENT CARE SPECIALIST,417555,,EMERGENCY MEDICINE,0.7035349011421204,UNCHECKED,38003794,
5756,GENERAL SURGEON,2834939,,GENERAL SURGERY,0.6405841708183289,APPROVED,38004447,
0873,PSYCHIATRIST/NEUROLOGIST,349,,PSYCHIATRY,0.5580457448959351,UNCHECKED,38004505,
1702,PHYSICAL THERAPIST,5474,,PHYSICAL THERAPY PROVIDER,1.0,APPROVED,38004490,
0451,PEDIATRIC EMERGENCY MEDICINE (PHYSICIANS),17178,,EMERGENCY MEDICINE,0.7613715529441833,UNCHECKED,45756808,
2435,REGISTERED NURSE,55,,REGISTERED NURSE - PRACTITIONER,1.0,APPROVED,38003716,
2992,NUTRITIONIST,40,,NUTRITIONIST,1.0,APPROVED,38003688,
3223,OCCUPATIONAL MEDICINE SPECIALIST,15,,PHYSICAL MEDICINE & REHABILITATION,0.8101648092269897,UNCHECKED,44777713,
6056,CERTIFIED ACUPUNCTURIST,1086184,,ACUPUNCTURIST,0.8086181282997131,APPROVED,38003780,
