count,provcat,description,higher-level category
28343721,0784,REHABILITATION MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
57816,5948,PEDIATRIC DERMATOLOGY,DERMATOLOGY
116806,5669,GENERAL DENTIST - DMD,DENTIST
42392,0279,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
4222,0250,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
4030,2769,SLEEP STUDY,OTHER PHYSICIAN SPECIALTY
2842,0590,PEDIATRIC INFECTIOUS DISEASES SPECIALIST,INFECTIOUS DISEASES
2227,0638,PEDIATRIC OPHTHALMOLOGIST,OPHTHALMOLOGY
30028,2732,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
109,5742,CARDIOLOGIST,CARDIOLOGY
16,2704,ENDOCRINOLOGIST (DIABETES SPECIALIST),ENDOCRINOLOGY
169,1945,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
1420,1924,REGISTERED NURSE,REGISTERED NURSE
3864,3940,HOMEMAKER AIDE,HOMEMAKER AIDE
2823,5339,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
41,1899,NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
436,1994,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
60,1856,CARDIOVASCULAR DISEASE SPECIALIST,CARDIOLOGY
98,2727,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
6,1962,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
1,1626,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
106,7240,UNKNOWN PROVIDER TYPE,UNKNOWN
4,3677,HOME HEALTH AGENCY- HOME HEALTH AIDE,HOME HEALTH AGENCY
2,3073,DIAGNOSTIC CARDIOLOGY,CARDIOLOGY
210107796,0110,CHIROPRACTOR,CHIROPRACTOR
527566,5029,REGISTERED SOCIAL WORKER,SOCIAL WORKER
245356,0340,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
113589,5871,CRITICAL CARE SURGEON,CRITICAL CARE MEDICINE
180611,0526,MEDICAL GENETICIST,GENETICS
65369,0714,ANATOMICAL PATHOLOGIST,PATHOLOGY
172390,0868,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
167602,0165,ENDODONTIST,ENDODONTIST
96678,0809,PLASTIC SURGEON,PLASTIC & RECONSTRUCTIVE SURGERY
